film_title,release_year,imdb_rating,vote_count,duration_min,genre,is_top_100
Aśoka (film),2001,6.5,12612.0,176.0,Action|Biography|Drama,0
B.A. Pass,2012,6.4,3219.0,95.0,Crime|Drama,0
Baabarr,2009,5.2,287.0,180.0,Action|Crime|Drama,0
Baabul (2006 film),2006,5.4,2836.0,169.0,Drama|Family|Romance,0
Baaghi (2016 film),2016,5.2,6088.0,133.0,Action|Thriller,0
Baaghi 2,2018,5.0,7657.0,137.0,Action|Thriller,0
Baaghi 3,2020,2.2,13000.0,143.0,Action|Adventure|Thriller,0
Baaja,2001,6.6,8.0,130.0,Family,0
Baar Baar Dekho,2016,5.3,5608.0,141.0,Comedy|Drama|Romance,0
Baat Bann Gayi,2013,5.4,61.0,108.0,Comedy|Romance,0
Baaz: A Bird in Danger,2003,3.1,304.0,180.0,Mystery|Thriller,0
Baazaar,2018,6.6,3859.0,137.0,Crime|Drama|Thriller,0
Babloo Happy Hai,2014,6.8,76.0,113.0,Comedy|Drama|Romance,0
Babuji Ek Ticket Bambai,2017,0.0,0.0,130.0,Comedy|Drama,0
Babumoshai Bandookbaaz,2017,6.9,1508.0,122.0,Action|Crime|Thriller,0
Baby (2015 Hindi film),2015,8.0,49426.0,159.0,Action|Thriller,0
Baby Geniuses,1999,2.6,27000.0,97.0,Comedy|Crime|Family,0
Bachche Kachche Sachche,2017,0.0,0.0,130.0,Drama|Short,0
Bachke Rehna Re Baba,2005,2.7,194.0,130.0,Comedy,0
Bachna Ae Haseeno,2008,6.2,9439.0,152.0,Comedy|Drama|Romance,0
Back to the Future,1985,8.5,1213.5,130.0,Adventure|Comedy|Sci-Fi,1
Badhaai Ho,2018,8.0,21851.0,124.0,Comedy|Drama,0
Badhaai Ho Badhaai,2002,4.4,585.0,155.0,Comedy|Drama|Musical,0
Badla (2019 film),2019,7.9,15499.0,118.0,Crime|Drama|Mystery,0
Badlapur (film),2015,7.4,20021.0,134.0,Action|Crime|Drama,0
Badlapur Boys,2014,4.7,113.0,123.0,Drama,0
Badmashiyaan,2015,4.6,124.0,128.0,Comedy|Romance,0
Badrinath Ki Dulhania,2017,6.2,8868.0,139.0,Comedy|Drama|Romance,0
Baghban (2003 film),2003,7.4,14248.0,181.0,Drama|Romance,0
Bajatey Raho,2013,5.3,693.0,107.0,Comedy|Drama|Thriller,0
Bajirao Mastani,2015,7.2,29141.0,158.0,Action|Drama|History,0
Bajrangi Bhaijaan,2015,8.0,65877.0,163.0,Action|Comedy|Drama,0
Bal Ganesh 2,2009,7.4,10.0,74.0,Animation,0
Bala (2019 film),2019,8.2,1369.0,133.0,Comedy,0
Balwinder Singh Famous Ho Gaya,2014,3.8,40.0,136.0,Comedy,0
Banaras (2006 film),2006,6.2,301.0,122.0,Drama|Musical,0
Band Baaja Baaraat,2010,7.2,14081.0,139.0,Comedy|Drama|Romance,0
Bandook,2013,6.1,114.0,132.0,Crime|Thriller,0
Bang Bang!,2014,5.5,20431.0,153.0,Action|Adventure|Comedy,0
Bangistan,2015,4.6,992.0,135.0,Comedy|Drama,0
Banjo (2016 film),2016,5.0,923.0,137.0,Action|Drama|Music,0
Bank Chor,2017,5.9,2164.0,120.0,Action|Comedy|Thriller,0
Barah Aana,2009,6.8,932.0,97.0,Comedy|Crime|Drama,0
Barb Wire,1996,3.5,31000.0,98.0,Action|Sci-Fi,0
Bardaasht,2004,6.0,550.0,155.0,Action|Crime|Drama,0
Bareilly Ki Barfi,2017,7.5,14907.0,116.0,Comedy|Romance,0
Barfi!,2012,8.1,70443.0,151.0,Comedy|Drama|Romance,0
Barkhaa,2015,5.1,283.0,127.0,Drama|Romance,0
Barsaat (2005 film),2005,4.0,538.0,143.0,Drama|Romance,0
Bas Ek Pal,2006,5.9,461.0,150.0,Drama|Romance,0
Bas Itna Sa Khwaab Hai,2001,3.8,550.0,130.0,Romance,0
Basti (film),2003,7.5,26.0,130.0,Action|Crime,0
Batla House,2019,7.3,5556.0,146.0,Action|Drama|Thriller,0
Batman & Robin,1997,3.8,264000.0,125.0,Action|Sci-Fi,0
Battalion 609,2019,4.1,73.0,131.0,War,0
Batti Gul Meter Chalu,2018,6.1,4169.0,161.0,Drama,0
Battlefield Earth,2000,2.5,82000.0,117.0,Action|Adventure|Sci-Fi,0
Bazaar E Husn,2014,5.0,12.0,125.0,Drama,0
Bbuddah... Hoga Terra Baap,2011,5.6,2580.0,114.0,Action|Crime|Thriller,0
Be-Lagaam,2002,3.1,13.0,130.0,Crime|Thriller,0
Befikre,2016,3.9,6490.0,130.0,Comedy|Drama|Romance,0
Begum Jaan,2017,5.5,2347.0,128.0,Action|Drama|History,0
Behen Hogi Teri,2017,5.5,1514.0,128.0,Comedy,0
Beiimaan Love,2016,2.9,354.0,120.0,Drama|Romance|Thriller,0
Being Cyrus,2005,7.2,2501.0,90.0,Drama|Thriller,0
Bengal Tiger (2001 film),2001,5.8,22.0,121.0,Action|Crime,0
Bewafaa (2005 film),2005,4.3,2187.0,149.0,Drama|Romance,0
Bewakoofiyaan,2014,5.5,3455.0,119.0,Comedy|Drama|Romance,0
Beyond the Clouds (2017 film),2017,6.9,1611.0,120.0,Drama|Family,0
Bezubaan Ishq,2015,4.1,56.0,128.0,Musical|Romance,0
Bhaag Johnny,2015,5.1,851.0,118.0,Action|Fantasy|Thriller,0
Bhaag Milkha Bhaag,2013,8.2,56205.0,186.0,Biography|Drama|Sport,0
Bhagam Bhag,2006,6.3,9329.0,157.0,Comedy|Mystery|Thriller,0
Bhagmati (2005 film),2005,6.5,47.0,160.0,Animation|Drama|History,0
Bhaiaji Superhit,2018,4.1,465.0,139.0,Action|Comedy|Drama,0
Bhairav (film),2001,5.0,23.0,133.0,Action,0
Bhanwarey,2017,7.3,51.0,120.0,Comedy,0
Bhavesh Joshi Superhero,2018,7.6,4928.0,154.0,Action|Drama,0
Bheja Fry (film),2007,7.6,10459.0,95.0,Comedy|Drama,0
Bheja Fry 2,2011,4.7,1179.0,129.0,Comedy|Drama,0
Bhola in Bollywood,2004,6.6,18.0,130.0,Comedy,0
Bhool Bhulaiyaa,2007,7.2,19469.0,159.0,Comedy|Horror|Mystery,0
Bhoomi (film),2017,5.3,1519.0,136.0,Action|Drama,0
Bhoot (film),2003,6.5,3017.0,113.0,Horror|Mystery|Thriller,0
Bhoot Returns,2012,2.5,480.0,85.0,Horror|Mystery|Thriller,0
Bhoot Unkle,2006,4.1,116.0,105.0,Family|Fantasy,0
